 ,x,1 (25ul250mWBaseline_3.tif),2 (25ul500mWBaseline_3.tif),3 (25ul750mWBaseline_3.tif),4 (25ul1000mWBaseline_3.tif),5 (50ul250mWBaseline_3.tif),6 (50ul500mWBaseline_3.tif),7 (50ul750mWBaseline_3.tif),8 (50ul1000mWBaseline_3.tif),9 (75ul250mWBaseline_3.tif),10 (75ul500mWBaseline_3.tif),11 (75ul750mWBaseline_3.tif),12 (75ul1000mWBaseline_3.tif)
122,121,27040.911,25843.516,25189.789,25184.765,29826.820,29042.894,28154.243,27233.500,27696.042,28622.022,29444.164,28719.377
123,122,27166.228,25983.290,25255.830,25297.825,29975.658,29140.619,28320.675,27375.938,27915.589,28907.666,29561.629,28879.030
124,123,27248.366,26055.774,25249.687,25305.474,30097.262,29180.510,28384.054,27416.132,28033.158,29064.760,29659.888,28965.811
125,124,27255.048,26022.988,25178.626,25241.375,30112.373,29182.757,28369.543,27407.851,28036.085,29131.865,29639.779,29019.707
126,125,27269.170,25963.242,25131.885,25166.204,30122.467,29255.248,28388.120,27424.389,28032.573,29132.813,29615.373,29006.325
127,126,27403.447,25982.772,25191.397,25112.285,30150.280,29378.807,28524.782,27530.870,28169.222,29107.706,29650.848,29088.249
128,127,27549.240,26092.350,25232.787,25135.066,30197.654,29471.576,28699.919,27639.919,28344.071,29203.879,29751.065,29198.964
129,128,27739.804,26295.633,25354.361,25211.994,30304.064,29561.339,28875.979,27821.610,28573.204,29446.689,29893.279,29339.780
130,129,27823.371,26333.103,25348.257,25223.031,30302.860,29572.127,28942.341,27851.712,28677.497,29616.261,29953.616,29375.881
131,130,27888.031,26341.016,25347.096,25192.916,30318.068,29615.041,28985.272,27865.294,28711.724,29719.667,29953.951,29379.823
132,131,28031.680,26352.186,25412.811,25191.105,30444.230,29714.104,29114.449,27983.672,28801.723,29756.153,29994.927,29439.447
133,132,28154.090,26441.240,25452.578,25253.425,30518.204,29796.753,29213.808,28092.747,28919.958,29849.181,30063.887,29515.041
134,133,28236.408,26512.448,25473.870,25275.892,30575.935,29890.428,29285.029,28149.302,29031.921,29977.840,30091.576,29550.197
135,134,28297.977,26586.237,25530.444,25289.717,30621.813,30023.099,29356.336,28234.163,29117.820,30033.336,30135.714,29612.730
136,135,28348.698,26700.367,25574.752,25335.392,30699.077,30141.025,29433.847,28340.539,29252.437,30163.157,30238.701,29696.673
137,136,28354.989,26756.145,25521.915,25322.657,30684.591,30167.886,29462.494,28386.763,29313.165,30244.711,30234.624,29748.072
138,137,28300.971,26760.388,25431.947,25276.037,30618.541,30134.535,29426.631,28386.048,29280.749,30257.356,30186.982,29730.836
139,138,28309.620,26788.019,25394.747,25206.833,30638.494,30187.716,29461.265,28466.300,29279.135,30300.818,30167.990,29760.123
140,139,28379.275,26835.676,25402.175,25171.593,30746.497,30262.672,29579.256,28597.704,29313.332,30320.469,30196.171,29831.030
141,140,28499.353,26941.785,25437.903,25175.891,30812.312,30332.948,29698.754,28711.531,29411.767,30412.004,30239.157,29917.654
142,141,28585.380,27010.232,25409.436,25147.299,30856.419,30360.794,29801.569,28805.105,29446.370,30471.613,30238.061,29993.549
143,142,28675.139,27083.982,25380.893,25109.637,30881.516,30359.226,29865.808,28877.900,29537.560,30501.859,30250.603,30066.514
144,143,28795.685,27212.662,25423.454,25137.884,30907.864,30415.435,29962.476,29007.871,29672.977,30591.527,30268.367,30169.424
145,144,28892.026,27335.729,25459.715,25173.751,30900.194,30434.144,30062.996,29108.858,29781.855,30605.903,30336.991,30228.278
146,145,28914.141,27343.196,25444.756,25145.435,30866.334,30430.769,30104.376,29170.684,29842.877,30630.775,30368.930,30268.298
147,146,28883.060,27326.491,25429.417,25052.640,30805.516,30433.074,30116.646,29241.601,29854.044,30625.982,30369.223,30251.293
148,147,28895.862,27305.323,25440.256,24947.537,30768.713,30443.357,30172.872,29287.823,29846.168,30561.325,30363.191,30268.247
149,148,28968.879,27403.167,25565.588,24966.908,30811.769,30513.319,30282.719,29423.665,29967.155,30524.545,30460.306,30360.825
150,149,29102.372,27604.772,25663.620,25000.881,30842.444,30559.937,30392.974,29550.346,30093.646,30550.022,30547.076,30465.716
151,150,29210.144,27717.990,25702.834,25015.564,30864.260,30627.447,30461.293,29640.346,30160.250,30589.896,30573.325,30539.841
152,151,29395.374,27897.341,25861.329,25083.743,30970.733,30716.784,30588.609,29809.414,30273.766,30662.604,30682.222,30654.096
153,152,29605.618,28160.017,26033.681,25232.312,31120.767,30838.096,30760.955,30021.730,30465.978,30756.703,30839.901,30806.763
154,153,29803.110,28398.161,26172.361,25351.589,31237.807,30921.270,30931.631,30211.614,30620.334,30886.043,30973.450,30945.655
155,154,29905.651,28577.728,26219.633,25410.353,31249.237,30968.606,31039.426,30320.419,30700.228,31042.218,31026.553,31043.742
